,filt_42,filt_152
utn,0.003606384666636586,0.0019245629331895284
t ü,0.0050601417967738455,0.002615376845046993
rev,0.05424101224967411,0.0035014660696366003
zös,0.008040540718866396,0.0923246840829961
»Be,0.010059456820488862,0.008388140198630503
ydi,0.0,0.0
lüc,0.007625931686146859,0.004044696829335797
"g‹,",0.02089267410337925,0.0
»li,0.03835219144821167,0.0
Bid,0.0,0.0
-st,0.02580138047536214,0.0
rox,0.0,0.0
lo ,0.018703078966570065,0.014855292857923221
"do,",0.10163006457415494,0.01604246231727302
7 e,0.0,0.0
. ä,0.0,0.0
slö,0.011002586533625921,0.0003820226476010349
bun,0.008639385350294257,0.0037323176827909342
O K,0.020293326349928975,0.0
nba,0.025890512545583867,0.002881870578808156
rad,0.018774423339787533,0.003974003108089854
Sem,0.008715773047879339,0.002191770449280739
"00,",0.0,0.0
ro!,0.004493042826652527,0.0
›Pu,0.015836970880627632,0.0
otp,0.0,0.0
fma,0.018214703047837625,0.0029155334772227644
pa!,0.013097677938640117,0.00010982617968693375
. 2,0.0,0.0
cou,0.0,0.0
"nx,",0.052185275591909885,0.0
tzg,0.04998706405361494,0.0007756714088221391
z U,0.0,0.021441556396894157
Eld,0.01567547768354416,0.0
kuß,0.011312539708645394,0.0
Zus,0.009891438507743698,0.011147943571937102
ng',0.028068970267971356,0.0018116718468566735
 ic,0.016035235374568153,0.003292458960726764
lut,0.012659378861890603,0.0030802777705503104
Ula,0.0,0.012281272560358047
 S.,0.0,0.012944035232067108
jek,0.009354400997316199,0.00757701466292409
klu,0.010536439056119931,0.007761081327209968
"x, ",0.06182256412620728,0.0
t-s,0.0,0.0
t’s,0.0,0.0
– V,0.011066385659374177,0.00987446730986478
lms,0.0011326268431730568,0.0
ael,0.0439492592588067,0.0014639462965230147
Weg,0.014171402791684018,0.006428923045754905
-pa,0.003243765328079462,0.0
d L,0.008078435973673151,0.002601315309975024
egr,0.018197703951945206,0.007217280163564971
ubb,0.01870621864994367,0.0
zku,0.0,0.0
cht,0.012296013749595897,0.004276827781254248
opu,0.0,0.0
alo,0.02933218808651998,0.004757392091740822
‹. ,0.006302120629698038,0.0
bth,0.0,0.0
  L,0.024986371397972107,0.0027747334291537604
ola,0.025986293266109548,0.003043518697198194
gtä,0.006291695333157594,0.0
öme,0.006309828134059596,0.01701237977249548
tef,0.0016736185643821955,0.0089115267555826
aba,0.019811185736396012,0.006284680338739566
iru,0.0,0.015800580382347107
fas,0.021852156611160467,0.005901147475583457
pej,0.05009832978248596,0.011425775475800037
rhö,0.02125068091659396,0.012690431734804126
gt.,0.004062759990904293,0.02338387461783954
bwi,0.021361876279115677,0.0
"I, ",0.09492408235867818,0.0
jui,0.04298734292387962,0.0006156576564535499
p. ,0.024948983159112304,0.037978411799198704
i A,0.04146279855362641,0.00570903682651428
rrp,0.005650683306157589,0.017916521057486534
. Ö,0.0,0.0
myt,0.0,0.0
hs-,0.0,0.0
c. ,0.015897161194256375,0.000981710452054228
bzä,0.0,0.0
"L…,",0.01975945755839348,0.0
s L,0.01545736452354622,0.003612836693495112
»Ed,0.029021624475717545,0.0
on.,0.0033701135841336972,0.02143401006097965
ahe,0.02310642058457368,0.016482711583834367
ziv,0.004338857407371203,0.0003009855669612686
Täu,0.0003844285383820534,0.0
Con,0.026596959369416008,0.008436147223359771
sfr,0.02171625912128745,0.001984251717078513
ß i,0.0315279844709764,0.005259972268723304
me-,0.006198802124708891,0.0
dtn,0.008918882289435714,0.0020642992749344558
Kei,0.003882540601754205,0.03594128882475928
ebü,0.01188454599064749,7.056145598956694e-05
za.,0.0,0.020683562755584715
ag-,0.0,0.0
»›H,0.0,0.0
e? ,0.011053260741812915,0.006543971822483521
to:,0.0016829932341352106,0.0
nno,0.016754901290617207,0.014560571039151964
-Hé,0.0,0.0
e v,0.02074489711799046,0.011038695656262665
Wäh,0.0010127781466248312,0.03537227919857417
o K,0.0,0.126305490732193
ffp,0.0,0.04949007630348205
»Tr,0.0003856023288487146,0.012124567230542501
Biß,0.0,0.0
ei-,0.017623770982027054,0.003157252608798444
Viv,0.004709393657200659,0.0003524161176756024
s F,0.018338168031683595,0.005742077820504389
sys,0.005834481678903103,0.021040387013379264
ijä,0.0035586874776830277,0.015664948771397274
nn’,0.0,0.0
Baß,9.74786068711962e-05,0.0
gdr,0.01047493889927864,0.0
Daß,0.004403202354608636,0.01827095155115655
ß K,0.03893953554374589,0.0007786087014458396
Hit,0.03790546102183206,0.005038883936192308
fzu,0.018474903048976157,0.015149642695427222
k d,0.006896524831939202,0.005329565911625441
ypr,0.018508406588807702,0.0672718808054924
 al,0.03200354459552522,0.006189530701845248
ktt,0.0011317083262838423,0.0
hsl,0.002745753798920375,0.0019829877777598225
zma,0.0,0.0
poe,0.002504841064425515,0.0014957021921873093
ägs,0.00999635768433412,0.006452985728780429
eop,0.07130419589884696,0.005905903468374163
kön,0.02336434896885543,0.017434148819999034
t ä,0.0029292028227990326,0.00272197195074775
egü,0.014790755066011721,0.00402696940000169
70 ,0.004870373569428921,0.00610515670850873
»Mi,0.002663642847371038,0.036954764776477
ppt,0.007294583242180467,0.004715341707733536
!? ,0.005223513381289584,0.0
ckh,0.020245784678484632,0.0027239991593634404
rsü,0.01772474051164142,0.012754303764487648
ndc,0.008716163567207273,0.00048523813095544617
 Äh,0.01293276775567258,0.0032007945186198978
gil,0.010344712451247998,0.003925309675495799
Poe,0.02462009441140773,0.009217971258758739
biß,0.00693133364206758,0.0024285061236727855
sol,0.026637673394092332,0.008187625167172209
cia,0.0012861954358716805,0.0
amn,0.0,0.0
rk«,0.0,0.0
›Au,0.005897201132029295,0.03397461026906967
füs,0.0038886142428964376,0.008240295108407736
»gr,0.0564260333776474,0.0
n k,0.02343937018314332,0.012226566572226955
ad!,0.04217774731417497,0.0
"no,",0.10553116439019933,0.0
kei,0.016776645382037037,0.004150504557523594
"ah,",0.08878997140205823,0.004602790297005936
. m,0.0,0.11993828827980905
han,0.01832725523680295,0.005477214552957734
tap,0.006765066640466412,0.01022660547119387
ro;,0.0,0.0
tuo,0.027439103073750932,0.01600390113890171
à l,0.014143849723041058,0.0
Und,0.0055756853164896465,0.013022872664621899
Nes,0.010055398969035153,0.0031163725715097307
bc ,0.014103360888030794,0.005984025489952829
tzw,7.423281786032022e-05,0.025775808840990067
n-S,0.0,0.0
8 e,0.0,0.0
g S,0.02338062103039452,0.025985720956565015
rps,0.03610583480414269,0.05803498379620058
Sah,0.0,0.0863526701927185
92 ,0.0,0.0
« -,0.0,0.0
Zu ,0.0008334023623737967,0.08383915815020687
bep,0.012952565527354767,0.0
»Mö,0.0,0.0
g´ ,0.0,0.0
Hm«,0.051027038445075355,0.0005772550745556752
dpä,0.0,0.0
sdü,0.0,0.0
Spä,0.0009191960439478096,0.0321615149977764
Egg,0.0,0.0
äpf,0.030273399714912688,0.040706251348767965
dtc,0.012298727175220847,0.0
»ka,0.052116970265550275,0.0843515766848993
agl,0.005248274453159453,0.00042338415773378476
nfj,0.0,0.0
So.,0.0,0.0
rdd,0.0,0.0
Jes,0.0071343148627099305,0.04884841556058211
ßmu,0.020416637261708576,0.00020761132861177127
aho,0.0,0.0
"rg,",0.0315031143729765,0.0022737369191560414
 Bü,0.012511988545338682,0.006571324539060394
rsb,0.013528611045330763,0.0
eu.,0.0,0.012964686999718348
Hüh,0.0,0.0
urh,0.004367969569284469,0.0030394172295928
lex,0.02224506258680566,0.019700678373280524
l‹ ,0.005010357437034448,0.0
zic,0.006413862088017843,0.0016342066898659775
 O.,0.00603363080881536,0.15633978840196505
Mah,0.030927774684858463,0.003602083941500279
tsu,5.8131141122430564e-05,0.002337319403886795
Lex,0.001662786677479744,0.0
abi,0.019850220031070488,0.0
il;,0.01190200773999095,0.0
u n,0.008708855553006527,0.007706544529864614
esi,0.013095221611884669,0.005613433758734328
sée,0.03923304826021194,0.0003221099032089114
Olg,0.06218400645302609,0.007176157632576567
tip,0.02093445199231307,0.01742266718712118
l D,0.006009243941662135,0.0009422140428796411
t V,0.02756872625156705,0.011013777666015639
 hm,0.07430710229608747,0.002571614252196418
  .,0.0,0.0
n d,0.02252671593683478,0.008294717218672878
oun,0.004678381606936455,0.0
cii,0.0,0.00750053022056818
hmä,0.0027758726038229773,0.0007176067059238752
18 ,0.0,0.0
nt ,0.019221704001621202,0.008396374042929113
abh,0.021794279617159216,0.0022241277628115754
ago,0.015415122577561871,0.002794256096790746
rke,0.02284134604534743,0.01423107048435803
ewu,0.016006947526887402,0.004331655073792127
eap,0.02033279324353751,0.0024394191518102002
in;,0.016274544178337784,0.0029009030547884774
tca,0.0,0.0
gwa,0.020075867573420208,0.0
mre,0.0,0.0
Pio,0.03306165803223848,0.013154830783605576
d?.,0.0,0.0
is‹,0.0898476205766201,0.00013577873323811218
gon,0.011556792201840185,0.0030624038938965115
ätt,0.028271804565072448,0.006351043880900529
tex,0.01782016158103943,0.003405587747693062
non,0.03026286773449513,0.002382584190751725
de),0.0,0.0
Ack,0.01577973709656642,0.000618931335898546
  P,0.002922509389463812,0.02544466219842434
eji,0.05009832978248596,0.009957650676369667
n X,0.0781199187040329,0.00490996559314868
hhö,0.0,0.0
mro,0.0,0.0
«- ,0.0,0.0
hga,0.0,0.0
"é,«",0.0,0.0
o B,0.028358757961541414,0.0027921641511576517
edo,0.029311408976215435,0.0022376481358867256
ept,0.0012392043718136847,0.04927109989027182
h-S,0.0009143540519289672,0.0
uni,0.01224725275265413,0.011369597662480609
aut,0.019335169073977938,0.005049973524827429
 »M,0.0050233365703144075,0.043732655205531046
« A,0.0020239163430930715,0.022009971660038787
Uno,0.023003913070026197,0.0
f H,0.01503361635831127,0.005015402734052983
Roc,0.008820939474034964,0.0008151738381967312
pel,0.021531481902471828,0.008456349895050005
ero,0.02328530595405352,0.007077932493757544
i's,0.046479128301143646,0.0
llü,0.0026290213689208032,0.0014326030388474465
ceo,0.01037237544854482,0.0
tz«,0.0,0.0
Häm,0.0,0.0
Cam,0.03254010155797005,0.0
no ,0.008382251521688887,0.016506075122160836
afe,0.024030811604316114,0.01228026794211993
uph,0.03258952993201092,0.0032716052373871207
ute,0.020802557931108075,0.006992970528528684
Ero,0.005640164695002816,0.0011256357908926227
bta,0.0,0.0
aup,0.013973562162765222,0.0036553809377882214
.Ju,0.0,0.03244718071073294
sse,0.02020571537007634,0.011501030646697823
krä,0.016989310017511756,0.005244487913494761
Daz,0.004950156950420051,0.004713616319790934
em«,0.0,0.0
bet,0.02272478880460778,0.005094125414148156
bt-,0.0,0.0
zuw,0.016992965624244377,0.02296175122226652
us«,0.028666710098540143,0.0
s M,0.017056412148055092,0.005370238788962496
pi.,0.0,0.0
 -k,0.020932477345922962,0.00034163575037382543
Tie,0.03697122352803655,0.011170430480970854
t).,0.0,0.0
"w, ",0.060722744464874266,0.0
Löf,0.025536271060506502,0.0010869336624940236
auu,0.011342579190386459,0.005651352684071753
Sow,0.0,0.0
d E,0.019683717589129263,0.007091905541131793
ln?,0.0,0.023451153934001923
ss ,0.0,0.0
né ,0.0,0.0
73 ,0.0,0.0038992315530776978
ß-W,0.0,0.0
Suc,0.0007442132087557443,0.005199693995694231
rdw,0.02792496205522464,5.313504684286622e-05
ymm,0.0,0.0
Mag,0.019176395022936395,0.009250998965425956
 Öf,0.004103269203499492,0.0027239788323640823
i P,0.01729546583374031,0.045024996128631756
Cab,0.034997380524873736,0.0
asu,0.003748167971415179,0.0
Lie,0.024097634628254965,0.006814438101750299
n *,0.016548163512901913,0.23667390127816507
kgr,0.0,0.0
via,0.024280852700273196,0.00357227697968483
rsö,0.020190077952723554,0.017483211583779888
rn«,0.012054963658253351,0.016952058145155508
 Cl,0.00438238341699947,0.001985501095821912
p e,0.0,0.0
x c,0.0,0.0
uar,0.01747918942149311,0.01820877098091926
»no,0.023623657723267872,0.0
d ä,0.008096970253340576,0.0025364799708451915
?!.,0.0,0.10650644078850746
ht;,0.002418894066940993,0.001098357579945254
asc,0.012910427583833175,0.002784525024972009
lf ,0.01544596852727409,0.004255427777328198
uml,0.006143807214234811,0.000645425694219352
fla,0.01036308592051912,0.02545408010388715
os:,0.006422376363641686,0.0018998305830690595
* w,0.0,0.062327198684215546
lwo,0.01926225061841108,0.0
lph,0.02059179513404767,0.0
o l,0.03228264452506741,0.00478661402316945
"ed,",0.07782138348980383,0.0004884109578349373
anw,0.017982388521251204,0.020399289583222787
ng?,0.003525470908572699,0.010383773040264211
nüp,0.02158232119178311,0.0026014705247703997
obr,0.0,0.0
kun,0.008612990104809435,0.011118862924888806
 ju,0.01539140948551348,0.0072950186278062
tt:,0.00484539775384797,0.0
keu,0.016872696046318327,0.0
ig‹,0.02089267410337925,0.0
m L,0.018550033385529078,0.0018369194688722303
ean,0.01303595903575317,0.02153449070174247
wa?,0.007666010409593582,0.0
iby,0.0,0.0
avs,0.07326707829322134,0.0
dsv,0.0,0.0
-Äg,0.0011117808055132628,0.007675640098750591
ed ,0.01758728944696486,0.003347422046637213
ünz,0.008510308672807046,0.05915158434904048
nst,0.01958107160626867,0.006299780568118248
-en,0.0,0.0
Hag,0.0,0.0003395571548026055
op?,8.758386580406555e-05,0.0517338684626988
imb,0.06597374685640846,0.004944472440651485
hmh,0.009354402497410774,0.0
obt,0.03880517634228454,0.005745167320856126
Ben,0.006596021274370807,0.012208046807375337
Lap,0.0,4.3794513355048066e-06
ar?,0.001812869847829764,0.025202823678652446
-ph,0.008183808997273445,0.0
rey,0.03980480879545212,0.0
"un,",0.031698198650782515,0.01846898277728744
isl,0.008116590621119196,0.0003963771530173042
wod,0.013959835892442157,0.0036172247887149736
ons,0.02066990312488986,0.006216189476967968
urc,0.010539336507844818,0.0023673957926653422
s!«,0.0037203507063289483,0.006666850179123382
Bis,0.0060896708671172185,0.0075088893023223195
ßem,0.016691206764551766,0.0018379776516840572
gpl,0.004448466411829454,0.0006896313886538567
sak,0.011638960934111051,0.0
Trü,0.0,0.0020592006353231575
Grè,0.0,0.0
mov,0.0003218799829483032,0.039418477565050125
täb,0.0,0.0
 Et,0.010111545604403789,0.008650454843030652
»Sc,0.003194690056546938,0.006696444826529306
rfp,0.0,0.0
"67,",0.03980257362127304,0.0
pfa,0.020213648722162247,0.02196853835175716
utl,0.006963638668739907,0.0039085975221588454
"he,",0.06069966566051957,0.002325394732424205
höl,0.0042293980562438565,0.0011832808611668749
Hm ,0.0,0.0
«  ,0.00735667472907502,0.06207571725709119
il ,0.026031060174733053,0.008978562662768069
d‹ ,0.0,0.0
u K,0.00998553931708307,0.0014259392602860436
nrü,0.02998430137945847,0.024357109903410838
elj,0.006047841584817929,0.03437250446189533
rnk,0.0,0.08249227702617645
kum,0.0013416888373046134,0.003004086911555772
Cav,0.004206974059343338,0.010351540520787239
h 5,0.0,0.0
rgö,0.021268262558957456,0.008483992617887756
Pra,0.004094344420341908,0.019932845660618374
 li,0.036385481031065016,0.00906729612763393
Wad,0.08564446369806926,0.0
Lei,0.01315902670198978,0.004467062657327387
Wof,0.0,0.0
enp,0.020110240240599243,0.005548024530715058
pzi,0.011758542018166432,0.011582938803864332
iad,0.01934375860191022,0.0
Nau,0.002346717530879407,0.0
?!!,0.0,0.0
? i,0.0006432820680654711,0.0013516593414048355
se!,0.007617476605810225,0.0006954337159792583
es:,0.01787763271048399,0.0
äha,0.0,0.0
 ke,0.025020550698977007,0.0062841098429271885
wäl,0.01687159982396625,0.0036254666425833497
) n,0.023032599315047263,0.0
(wa,0.0,0.00015104412644480666
rbä,0.011443781236616464,0.0013146786144576394
o? ,0.0018627723911777139,0.01790024417762955
l!.,0.0002688765525817871,0.13617112239201865
Skr,0.04406313691288233,0.001896000117994845
"ys,",0.08497125506401063,0.00046183886006474496
"oh,",0.07861531864513051,0.005708137786727589
 do,0.012609790665623939,0.0029652470214757004
Ger,0.012237764666805274,0.0031049608961717756
nah,0.03193035886508489,0.00917260695826502
jor,0.021837691648951954,0.012542511392557234
ott,0.026216050873167716,0.006563231077856778
io ,0.025086637597843565,0.004510031982423051
ltö,0.01430246401578188,0.0
smö,0.017392896115779877,0.02542722225189209
a R,0.04837097092108293,0.010301763361150568
lul,0.03073083112637202,0.0
ogg,0.0,0.0
Zor,0.00881293775247676,0.002770592857684408
t h,0.031717345628897456,0.004354712829982556
me:,0.008700086196002207,0.0020666636869703468
lgü,0.0,0.0
y?«,0.0,0.0
tly,0.0,0.0
6 b,0.0044568688608706,0.0
"am,",0.05843261475325968,0.007426475414248566
l J,0.0014739657441775005,0.0
fs ,0.014178249051285632,0.004460034442254929
pay,0.003521757200360298,0.045546069741249084
", t",0.07380786656715393,0.0015538148795500415
o F,0.02017575459710012,0.0038971304893493652
gir,0.0,0.0
oir,0.008916684219406711,0.011465033205846945
unm,0.015319739587539516,0.0103227788437387
ee ,0.019008573715002027,0.005835463011400682
us-,0.007753606250678951,0.0014447376809336922
ßvo,0.030249777065774242,0.0010637091933289073
swä,0.008617336136432221,0.00013121303905231447
   ,0.0023880347182027627,0.025937818185441563
»Gr,0.007373903609382419,0.014622564499194805
ön!,0.001944586235497679,0.004954557333673749
iwo,0.022044000029563905,0.0
ßle,0.007338762748986483,4.259403795003891e-05
igt,0.02260801897384963,0.009882184236496
nur,0.017943348965445784,0.009691852970632719
s!.,0.0012278605427127331,0.18937866389751434
* u,0.011761016811111144,0.0074162731512582725
« z,0.004567824817936996,0.004356942123508659
mvo,0.0,0.0
Dil,0.010333789512515068,0.0
 Ad,0.029344500600762494,0.00285360411249654
fwe,0.009230129675032865,0.019235786061280555
0 R,0.0006031444761902093,0.0
› d,0.013117861934006214,0.0
é p,0.0013645505532622337,0.0
occ,0.0007935379981063306,0.0
 fo,0.02877120161646138,0.010117733406546937
dop,0.030205904088992003,0.014173468406079337
ärz,0.004905123745708767,0.04106232637296552
k ü,0.004875456489931229,0.0
 5.,0.0,0.0
gle,0.012628371214687396,0.004581033129625021
d G,0.01164622506371532,0.0053167049740202345
map,0.0026207406439685394,0.012079075411228197
ybe,0.00035475230833981186,0.06565771624445915
uße,0.017461867677394927,0.009882858555201324
Bew,0.01053178881979752,0.003755812735032844
oen,0.013642135635018348,0.0
üml,0.003912876164050479,0.0003587397452639906
lnw,0.0,0.0
äfc,0.0,0.0
elä,0.022528909096292342,0.0032876691365816505
dtr,0.0038545146817341447,0.00181774259544909
zus,0.015144002393261444,0.0223436563855086
l Ä,0.0,0.0
uad,0.05376933980733156,0.0
h i,0.010348980329424348,0.0030550203173346246
»ze,0.016264650970697403,0.016158733516931534
huh,0.022021940358135164,0.0011043451341553306
-si,0.0,0.0
fed,0.006200948807721336,0.0002375828141036133
b ä,0.0,0.0
i Ä,0.0,0.0
gga,0.03457394987344742,0.0
mri,0.0646675553458232,0.01716712030071405
odr,0.00924719125032425,0.0
G. ,0.0,0.0
ön.,0.0,0.0
"ro,",0.11395591226491061,0.0
Keu,0.07014466325441997,0.0
Boi,0.0,0.0
l. ,0.004474878399079288,0.030004068147394133
nky,0.0526195372290471,0.017323500709608197
gat,0.0011574323244321232,0.00021278088052685445
u H,0.013424925230495493,0.0096801992277912
‹.«,0.0,0.0
zos,0.0160055225806948,0.1056237499180593
gly,0.006717180212338765,0.0
60 ,0.0054711513221263885,0.00455769756808877
» W,0.0,0.03408173471689224
ösc,0.005466821096418024,0.003077223664149642
Ema,0.01532268337905407,0.014270232059061527
: C,0.02455864197519772,0.0011375634109272675
thy,0.0,0.0
 is,0.023950807090986993,0.010759435789070534
; l,0.017496788230456525,0.001598993372736555
Stä,0.017084571049872467,0.005278467510470364
7 d,0.0,0.0
e ä,0.015528062464962264,0.010200718316557486
rkh,0.0,0.0
ußh,0.053616028279066086,0.0
lmö,0.0,0.0
d.),0.0,0.20721371173858644
Ams,0.0,0.0
guë,0.0022917031310498714,0.0
stv,0.0051702507150669895,0.004439897319146743
u X,0.02842239725093047,0.018049786100164056
u u,0.006222176552611347,0.010819753764744191
++ ,0.0006204822566360235,0.0122222900390625
ssü,0.0,0.0
Köl,0.002908740658313036,0.0008207157370634377
d–d,0.0,0.0
tz.,0.001939832597323086,0.027468946094260267
eli,0.017410521956764843,0.0037686714253053416
lev,0.004560825880616903,0.0
übc,0.0053030610849548665,0.0
ltf,0.0545465350151062,0.0
teu,0.028559196684571377,0.00986640330630169
hun,0.008551582105351023,0.0033332115578629386
tso,0.0036351876658634007,0.00034241408438367
rüf,0.02403006350884781,0.0440732393952203
rg;,0.002084163366816938,0.0
»Fe,0.0038577049970626833,0.003150906413793564
Erp,0.0,0.04027175065129995
tme,0.019592463397653772,0.002821056865155697
rk-,0.0,0.0
" , ",0.020625853911042213,0.0
u V,0.0011501623583691461,0.012316134891339712
a P,0.023845536552938956,0.008308007255009556
zif,0.007892109125877093,0.031116521976257087
lbb,0.025584564759181097,0.0
örr,0.0059577735761801405,0.0
* m,0.0,0.0
 Co,0.023559675583079375,0.009682053094223628
Rok,1.4218091382645071e-05,0.0
nvu,0.0,0.0
Aug,0.01659725457096977,0.007342945405138253
leo,0.006332726093629996,0.0002487611025571823
. n,0.009031011179710427,0.025552649565118674
l t,0.015061761418606196,0.004019333233538253
›da,0.014698147670262389,0.0
A l,0.001039237342774868,0.0
ahk,0.003281767712906003,0.0
ß! ,0.01047080735831211,0.004756572156717691
»Ri,0.0,0.018537926177183788
 Il,0.013109809264665534,0.0036976228097798944
ßt ,0.020374488361183794,0.005775474416671051
nug,0.011762978075798564,0.005661636734507613
dek,0.0076635243312921375,0.005192897379080333
Equ,0.0,0.08261695131659508
"mt,",0.04160117841365331,0.0011161837545706533
ß-F,0.0,0.0
k p,0.0,0.0
ufi,0.015367767867113651,0.004502014887329433
Baf,0.0,0.0
for,0.02752002110359419,0.009000270651439952
zi ,0.0,0.0
  K,0.021780598306042308,0.0008776712176554344
 ›D,0.001771419409972926,0.01494069355669328
mom,0.013306084758369252,0.002591539698187262
sub,0.0024726539133833004,0.015943231132741157
a J,0.008660451881587506,0.0
g Ä,0.0,0.0
er),0.02875158190727234,0.0
Heb,0.0267223406311435,0.002860961055072645
 Na,0.018012957911882725,0.009952856834530472
ßva,0.022586830891668797,0.000998126475938729
sbü,0.013643982613252269,0.006292380392551422
biz,0.0,0.0
t-l,0.0,0.0
lce,0.01037237544854482,0.0
ix«,0.10587586462497711,0.0
Sat,0.03971101591984431,0.002499729964054293
ptf,0.03264975780621171,0.0
z e,0.00736607432039709,0.10807164831060274
ekä,0.01576037895413012,0.003763069791906067
un.,0.0019859703819880762,0.03980603024772391
- i,0.002917102538049221,0.0
zed,0.0005969767371425405,0.0
oas,0.0,0.0
 gn,0.02757244721798175,0.0023671127661233087
dsk,0.01989282554176708,0.0006820920389145613
(hi,0.0,0.0
g t,0.011209750539273955,0.009676732246589381
Ère,0.0,0.0
 (d,0.002727151005220709,0.0010361196473240852
hrö,0.0032722221862059087,0.0021604422479867937
gny,0.0,0.0
cko,0.0,0.0
ici,0.0012192726833745837,0.003000212088227272
uha,0.020022471904705623,0.015044361154401774
tmo,0.010169855171912595,0.00037640965494670366
Pyr,0.010240900766802952,0.022953631589189172
ppc,0.010511653032153845,0.0
d (,0.012331905109541757,0.006912370661406645
 ›J,0.01259187632240355,0.002399502554908395
 »l,0.030974388339514422,0.0002604965755546635
lik,0.01667967442688892,0.003393722545725348
et«,0.041024876137574516,0.0
Eid,0.008763642367822204,0.0011133817447857423
Tun,0.0005744057707488537,0.01846123965723174
 cr,0.0,0.0
